t_total_votes,b_total_votes,j_total_votes,total_all,from_b,from_j,new_t_total,new_b_total,new_j_total,total_all_new
6526,1779,36,8341,60,1,6587,1719,35,8341
2300,825,30,3155,28,1,2329,797,29,3155
4018,625,25,4668,21,1,4040,604,24,4668
897,652,6,1555,22,0,919,630,6,1555
8903,9140,208,18251,311,7,9221,8829,201,18251
7795,932,74,8801,32,3,7830,900,71,8801
26804,10453,664,37921,355,23,27182,10098,641,37921
37674,12092,701,50467,411,24,38109,11681,677,50467
4110,2392,58,6560,81,2,4193,2311,56,6560
6419,1269,55,7743,43,2,6464,1226,53,7743
26585,43468,749,70802,1478,25,28088,41990,724,70802
4328,1311,67,5706,45,2,4375,1266,65,5706
6991,699,56,7746,24,2,7017,675,54,7746
4260,2790,50,7100,95,2,4357,2695,48,7100
14244,6739,357,21340,229,12,14485,6510,345,21340
18386,11243,455,30084,382,15,18783,10861,440,30084
5400,5209,75,10684,177,3,5580,5032,72,10684
8406,3274,91,11771,111,3,8520,3163,88,11771
923,1260,11,2194,43,0,966,1217,11,2194
15251,7967,470,23688,271,16,15538,7696,454,23688
3133,1269,29,4431,43,1,3177,1226,28,4431
37476,16238,760,54474,552,26,38054,15686,734,54474
25167,6932,494,32593,236,17,25420,6696,477,32593
3419,1103,44,4566,38,1,3458,1065,43,4566
53237,78254,1929,133420,2661,66,55964,75593,1863,133420
880,667,35,1582,23,1,904,644,34,1582
8064,1854,132,10050,63,4,8131,1791,128,10050
99587,42794,2449,144830,1455,83,101125,41339,2366,144830
14446,36048,839,51333,1226,29,15701,34822,810,51333
637,790,7,1434,27,0,664,763,7,1434
15813,95476,1055,112344,3246,36,19095,92230,1019,112344
2105,747,12,2864,25,0,2130,722,12,2864
165459,221846,6441,393746,7543,219,173221,214303,6222,393746
10578,4511,125,15214,153,4,10735,4358,121,15214
11777,4187,119,16083,142,4,11923,4045,115,16083
50013,29236,1330,80579,994,45,51052,28242,1285,80579
4900,2059,76,7035,70,3,4973,1989,73,7035
51501,24210,1088,76799,823,37,52361,23387,1051,76799
4428,1615,59,6102,55,2,4485,1560,57,6102
4987,2986,66,8039,102,2,5091,2884,64,8039
6066,1261,107,7434,43,4,6113,1218,103,7434
13398,2486,197,16081,85,7,13490,2401,190,16081
6758,4780,89,11627,163,3,6924,4617,86,11627
58373,308227,4204,370804,10480,143,68996,297747,4061,370804
5843,2171,56,8070,74,2,5919,2097,54,8070
2159,1911,35,4105,65,1,2225,1846,34,4105
10454,24577,280,35311,836,10,11300,23741,270,35311
25451,42809,837,69097,1456,28,26935,41353,809,69097
2722,2437,28,5187,83,1,2806,2354,27,5187
1256,167,18,1441,6,1,1263,161,17,1441
23358,7720,492,31570,262,17,23637,7458,475,31570
6226,2879,66,9171,98,2,6326,2781,64,9171
6551,2884,66,9501,98,2,6651,2786,64,9501
2888,1324,35,4247,45,1,2934,1279,34,4247
12169,2571,110,14850,87,4,12260,2484,106,14850
37952,33065,976,71993,1124,33,39109,31941,943,71993
29123,12008,517,41648,408,18,29549,11600,499,41648
85122,42203,1980,129305,1435,67,86624,40768,1913,129305
9069,1593,103,10765,54,4,9127,1539,99,10765
137240,381144,6275,524659,12959,213,150412,368185,6062,524659
13429,2932,164,16525,100,6,13535,2832,158,16525
1403,155,8,1566,5,0,1408,150,8,1566
25616,15879,489,41984,540,17,26173,15339,472,41984
19405,4384,244,24033,149,8,19562,4235,236,24033
7034,3619,54,10707,123,2,7159,3496,52,10707
7068,4088,91,11247,139,3,7210,3949,88,11247
166413,241827,5625,413865,8222,191,174826,233605,5434,413865
16637,3563,232,20432,121,8,16766,3442,224,20432
64170,25031,1322,90523,851,45,65066,24180,1277,90523
1159,2985,21,4165,101,1,1261,2884,20,4165
12331,1792,125,14248,61,4,12396,1731,121,14248
14319,5457,215,19991,186,7,14512,5271,208,19991
9464,3157,106,12727,107,4,9575,3050,102,12727
4516,824,51,5391,28,2,4546,796,49,5391
48187,73276,1279,122742,2491,43,50721,70785,1236,122742
41534,32232,1057,74823,1096,36,42666,31136,1021,74823
3134,1008,26,4168,34,1,3169,974,25,4168
29497,7642,531,37670,260,18,29775,7382,513,37670
5822,1761,61,7644,60,2,5884,1701,59,7644
4695,1028,48,5771,35,2,4732,993,46,5771
3537,4061,44,7642,138,1,3676,3923,43,7642
2161,1266,28,3455,43,1,2205,1223,27,3455
2850,1222,28,4100,42,1,2893,1180,27,4100
9965,4888,113,14966,166,4,10135,4722,109,14966
6330,2615,94,9039,89,3,6422,2526,91,9039
2509,1019,48,3576,35,2,2546,984,46,3576
14493,8073,163,22729,274,6,14773,7799,157,22729
12007,4558,149,16714,155,5,12167,4403,144,16714
7959,13099,331,21389,445,11,8415,12654,320,21389
3179,1435,36,4650,49,1,3229,1386,35,4650
3528,2033,95,5656,69,3,3600,1964,92,5656
25691,20117,547,46355,684,19,26394,19433,528,46355
12163,3126,242,15531,106,8,12277,3020,234,15531
1783,2857,22,4662,97,1,1881,2760,21,4662
11326,3411,200,14937,116,7,11449,3295,193,14937
2275,1311,38,3624,45,1,2321,1266,37,3624
6169,4168,118,10455,142,4,6315,4026,114,10455
4016,2612,68,6696,89,2,4107,2523,66,6696
6524,4287,66,10877,146,2,6672,4141,64,10877
2066,749,20,2835,25,1,2092,724,19,2835
4935,3995,33,8963,136,1,5072,3859,32,8963
11060,4384,148,15592,149,5,11214,4235,143,15592
2960,979,27,3966,33,1,2994,946,26,3966
8230,3355,122,11707,114,4,8348,3241,118,11707
12943,2302,144,15389,78,5,13026,2224,139,15389
30049,49529,965,80543,1684,33,31766,47845,932,80543
23869,29794,576,54239,1013,20,24902,28781,556,54239
16595,8162,411,25168,278,14,16887,7884,397,25168
5593,2436,102,8131,83,3,5679,2353,99,8131
54525,29704,1156,85385,1010,39,55574,28694,1117,85385
6502,5920,123,12545,201,4,6707,5719,119,12545
14075,2808,233,17116,95,8,14178,2713,225,17116
7899,1100,49,9048,37,2,7938,1063,47,9048
9127,1505,88,10720,51,3,9181,1454,85,10720
13589,3658,152,17399,124,5,13718,3534,147,17399
2805,1217,37,4059,41,1,2847,1176,36,4059
8291,3448,116,11855,117,4,8412,3331,112,11855
604,497,5,1106,17,0,621,480,5,1106
7474,1984,110,9568,67,4,7545,1917,106,9568
1391,1671,12,3074,57,0,1448,1614,12,3074
26781,59124,1111,87016,2010,38,28829,57114,1073,87016
13012,31244,430,44686,1062,15,14089,30182,415,44686
1800,462,13,2275,16,0,1816,446,13,2275
3916,2661,51,6628,90,2,4008,2571,49,6628
2611,1254,19,3884,43,1,2655,1211,18,3884
18057,11784,275,30116,401,9,18467,11383,266,30116
9368,2385,132,11885,81,4,9453,2304,128,11885
801,1182,7,1990,40,0,841,1142,7,1990
5732,6318,100,12150,215,3,5950,6103,97,12150
1392,2114,16,3522,72,1,1465,2042,15,3522
360,561,7,928,19,0,379,542,7,928
6053,2061,69,8183,70,2,6125,1991,67,8183
2418,1387,34,3839,47,1,2466,1340,33,3839
2825,1487,21,4333,51,1,2877,1436,20,4333
2004,2376,36,4416,81,1,2086,2295,35,4416
12954,8708,191,21853,296,6,13256,8412,185,21853
10784,5322,177,16283,181,6,10971,5141,171,16283
7872,2939,103,10914,100,4,7976,2839,99,10914
6384,1550,45,7979,53,2,6439,1497,43,7979
2101,952,24,3077,32,1,2134,920,23,3077
18143,11578,328,30049,394,11,18548,11184,317,30049
2349,1410,33,3792,48,1,2398,1362,32,3792
2370,2044,30,4444,69,1,2440,1975,29,4444
12651,2801,108,15560,95,4,12750,2706,104,15560
8608,4201,96,12905,143,3,8754,4058,93,12905
23174,5769,411,29354,196,14,23384,5573,397,29354
37842,12682,571,51095,431,19,38292,12251,552,51095
9865,4211,116,14192,143,4,10012,4068,112,14192
1166,1469,16,2651,50,1,1217,1419,15,2651
4663,4730,66,9459,161,2,4826,4569,64,9459
9987,2687,104,12778,91,4,10082,2596,100,12778
748,639,3,1390,22,0,770,617,3,1390
1583,689,13,2285,23,0,1606,666,13,2285
12222,2411,183,14816,82,6,12310,2329,177,14816
25636,10670,440,36746,363,15,26014,10307,425,36746
2403,862,16,3281,29,1,2433,833,15,3281
2823,2160,46,5029,73,2,2898,2087,44,5029
2664,2075,31,4770,71,1,2736,2004,30,4770
6830,2395,60,9285,81,2,6913,2314,58,9285
